session	ERR	ERR@10	nERR	nERR@10	nDCG	nDCG@10	AP	PC@10
77	0.0457	0.0267	0.1254	0.0762	0.1131	0.0816	0.0000	0.2000
78	0.2634	0.2504	0.4253	0.4071	0.2041	0.3341	0.0000	0.6000
79	0.0714	0.0668	0.1153	0.1086	0.0570	0.1109	0.0000	0.4000
80	0.4217	0.4148	0.6566	0.6469	0.3878	0.4843	0.0000	0.9000
81	0.0292	0.0000	0.0454	0.0000	0.0383	0.0000	0.0000	0.0000
82	0.1045	0.0918	0.1649	0.1455	0.0511	0.0736	0.0000	0.2000
83	0.0278	0.0208	0.0439	0.0330	0.0208	0.0226	0.0000	0.1000
84	0.0614	0.0569	0.0957	0.0890	0.0668	0.0748	0.0000	0.3000
85	0.0327	0.0284	0.0878	0.0790	0.0621	0.1000	0.0000	0.3000
86	0.0335	0.0301	0.0902	0.0838	0.0626	0.1031	0.0000	0.3000
87	0.0736	0.0469	0.2100	0.1392	0.2957	0.1467	0.0000	0.1000
88	0.0052	0.0000	0.0142	0.0000	0.0231	0.0000	0.0000	0.0000
89	0.0104	0.0000	0.0283	0.0000	0.0604	0.0000	0.0000	0.0000
90	0.0249	0.0063	0.0388	0.0097	0.0218	0.0108	0.0000	0.1000
91	0.1828	0.1787	0.2847	0.2787	0.1189	0.2792	0.0000	0.8000
92	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
93	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
94	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
95	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
96	0.0078	0.0078	0.0710	0.0710	0.1480	0.1480	0.0000	0.1000
97	0.0052	0.0000	0.0473	0.0000	0.1268	0.0000	0.0000	0.0000
98	0.0031	0.0000	0.0284	0.0000	0.1068	0.0000	0.0000	0.0000
